Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Its Only Art If Its Well Hung!,,['Julie Strain'],http://books.google.com/books/content?id=DykPAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=DykPAAAACAAJ&dq=Its+Only+Art+If+Its+Well+Hung!&hl=&cd=1&source=gbs_api,,1996,http://books.google.nl/books?id=DykPAAAACAAJ&dq=Its+Only+Art+If+Its+Well+Hung!&hl=&source=gbs_api,['Comics & Graphic Novels'],
Dr. Seuss: American Icon,"Philip Nel takes a fascinating look into the key aspects of Seuss's career - his poetry, politics, art, marketing, and place in the popular imagination."" ""Nel argues convincingly that Dr. Seuss is one of the most influential poets in America. His nonsense verse, like that of Lewis Carroll and Edward Lear, has changed language itself, giving us new words like ""nerd."" And Seuss's famously loopy artistic style - what Nel terms an ""energetic cartoon surrealism"" - has been equally important, inspiring artists like filmmaker Tim Burton and illustrator Lane Smith. --from back cover",['Philip Nel'],http://books.google.com/books/content?id=IjvHQsCn_pgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=IjvHQsCn_pgC&printsec=frontcover&dq=Dr.+Seuss:+American+Icon&hl=&cd=1&source=gbs_api,A&C Black,2005-01-01,http://books.google.nl/books?id=IjvHQsCn_pgC&dq=Dr.+Seuss:+American+Icon&hl=&source=gbs_api,['Biography & Autobiography'],
Wonderful Worship in Smaller Churches,"This resource includes twelve principles in understanding small church worship, fifteen practices for planning worship with fewer than 100 people, and suggestions for congregational study.",['David R. Ray'],http://books.google.com/books/content?id=2tsDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=2tsDAAAACAAJ&dq=Wonderful+Worship+in+Smaller+Churches&hl=&cd=1&source=gbs_api,,2000,http://books.google.nl/books?id=2tsDAAAACAAJ&dq=Wonderful+Worship+in+Smaller+Churches&hl=&source=gbs_api,['Religion'],
Whispers of the Wicked Saints,"Julia Thomas finds her life spinning out of control after the death of her husband, Richard. Julia turns to her minister for comfort when she finds herself falling for him with a passion that is forbidden by the church. Heath Sparks is a man of God who is busy taking care of his quadriplegic wife who was seriously injured in a sever car accident. In an innocent effort to reach out to a lonely member of his church, Heath finds himself as the man and not the minister as Heath and Julia surrender their bodies to each other and face the wrath of God. Julia finds herself in over her head as she faces a deadly disease, the loss of her home and whispers about her wicked affair. Julia leaves the states offering her body as a living sacrifice in hopes of finding a cure while her heart remains thousands of miles away hoping to one day reunite with the man who holds it hostage.Whispers of the Wicked Saints is a once in a lifetime romance that is breath taking, defying all the rules of romance and bending the laws of love.",['Veronica Haddon'],http://books.google.com/books/content?id=aRSIgJlq6JwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=aRSIgJlq6JwC&dq=Whispers+of+the+Wicked+Saints&hl=&cd=1&source=gbs_api,iUniverse,2005-02,http://books.google.nl/books?id=aRSIgJlq6JwC&dq=Whispers+of+the+Wicked+Saints&hl=&source=gbs_api,['Fiction'],
"Nation Dance: Religion, Identity and Cultural Difference in the Caribbean",,['Edward Long'],,"http://books.google.nl/books?id=399SPgAACAAJ&dq=Nation+Dance:+Religion,+Identity+and+Cultural+Difference+in+the+Caribbean&hl=&cd=1&source=gbs_api",,2003-03-01,"http://books.google.nl/books?id=399SPgAACAAJ&dq=Nation+Dance:+Religion,+Identity+and+Cultural+Difference+in+the+Caribbean&hl=&source=gbs_api",,
The Church of Christ: A Biblical Ecclesiology for Today,"In The Church of Christ: A Biblical Ecclesiology for Today, respected biblical scholar Everett Ferguson presents a genuine biblical theology of the church. By systematically examining the New Testament's teaching on the existence, meaning, and purpose of the church, providing responsible coverage of the traditional topics in ecclesiology, and carefully grounding ecclesiology in the person and work of Christ, Ferguson unveils a comprehensive model of the church that is both biblically centered and relevant to a world on the verge of the twenty-first century.",['Everett Ferguson'],http://books.google.com/books/content?id=kVqRaiPlx88C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=kVqRaiPlx88C&printsec=frontcover&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&cd=1&source=gbs_api,Wm. B. Eerdmans Publishing,1996,http://books.google.nl/books?id=kVqRaiPlx88C&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&source=gbs_api,['Religion'],5.0
The Overbury affair (Avon),,['Miriam Allen De Ford'],,http://books.google.nl/books?id=mHLTngEACAAJ&dq=The+Overbury+affair+(Avon)&hl=&cd=1&source=gbs_api,,1960,http://books.google.nl/books?id=mHLTngEACAAJ&dq=The+Overbury+affair+(Avon)&hl=&source=gbs_api,,
A Walk in the Woods: a Play in Two Acts,,['Lee Blessing'],,http://books.google.nl/books?id=6HDOwAEACAAJ&dq=A+Walk+in+the+Woods:+a+Play+in+Two+Acts&hl=&cd=1&source=gbs_api,,1988,http://books.google.nl/books?id=6HDOwAEACAAJ&dq=A+Walk+in+the+Woods:+a+Play+in+Two+Acts&hl=&source=gbs_api,,3.0
Saint Hyacinth of Poland,"The story for children 10 and up of St. Hyacinth, the Dominican who planted the Faith in Poland, Lithuania and Russia and worked many miracles. He went to Rome, where he met St. Dominic, and was one of the first to receive at his hands the habit of the newly established Order of Friars Preachers. After his novitiate he made his religious profession, and was made superior of the little band of missionaries sent to Poland to preach. Impr. 189 pgs 16 Illus, PB",['Mary Fabyan Windeatt'],http://books.google.com/books/content?id=lmLqAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=lmLqAAAACAAJ&dq=Saint+Hyacinth+of+Poland&hl=&cd=1&source=gbs_api,Tan Books & Pub,2009-01-01,http://books.google.nl/books?id=lmLqAAAACAAJ&dq=Saint+Hyacinth+of+Poland&hl=&source=gbs_api,['Biography & Autobiography'],
Rising Sons and Daughters: Life Among Japan's New Young,"Wardell recalls his experience as a foreign student in Japan, providing a comparison between America and Japan",['Steven Wardell'],,http://books.google.nl/books?id=rbLZugEACAAJ&dq=Rising+Sons+and+Daughters:+Life+Among+Japan%27s+New+Young&hl=&cd=1&source=gbs_api,Plympton PressIntl,1995,http://books.google.nl/books?id=rbLZugEACAAJ&dq=Rising+Sons+and+Daughters:+Life+Among+Japan%27s+New+Young&hl=&source=gbs_api,['Social Science'],
Muslim Women's Choices: Religious Belief and Social Reality (Cross Cultural Perspectives on Women),"Counters the Western views and stereotypes of Muslim women, by presenting a cross-cultural perspective of their experiences and choices in contemporary Muslim communities. The main theme of these papers is the manner in which Muslim women manipulate religious belief to negotiate their gender roles, within the context of their lives.","['Camillia Fawzi El-Solh', 'Judy Mabro']",http://books.google.com/books/content?id=o7izAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=o7izAAAAIAAJ&q=Muslim+Women%27s+Choices:+Religious+Belief+and+Social+Reality+(Cross+Cultural+Perspectives+on+Women)&dq=Muslim+Women%27s+Choices:+Religious+Belief+and+Social+Reality+(Cross+Cultural+Perspectives+on+Women)&hl=&cd=1&source=gbs_api,Berg Pub Limited,1994-02-17,http://books.google.nl/books?id=o7izAAAAIAAJ&dq=Muslim+Women%27s+Choices:+Religious+Belief+and+Social+Reality+(Cross+Cultural+Perspectives+on+Women)&hl=&source=gbs_api,['Religion'],
Dramatica for Screenwriters,"Dramatica for Screenwriters by Armando Saldana Mora is a must for any writer who wishes to get the most out of the Dramatica(r) Pro story development software. Written by a working screenwriter, this book gives real world, practical applications for using Dramatica to develop and write Screenplays. Book topics include: * What Dramatica offers the screenwriter * Dramatica in thirty seconds * Characters: Beyond the archetypes * Character Relationships as subplots * Note and sketch story development * How to get a complete plot * Four Dramatica Acts, Three Classical Acts * Narrative flow & writing the screenplay * And many more...",['Armando Salda A-Mora'],http://books.google.com/books/content?id=iTueuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=iTueuAAACAAJ&dq=Dramatica+for+Screenwriters&hl=&cd=1&source=gbs_api,,2005-07,http://books.google.nl/books?id=iTueuAAACAAJ&dq=Dramatica+for+Screenwriters&hl=&source=gbs_api,['Reference'],
Mensa Number Puzzles (Mensa Word Games for Kids),"Acclaimed teacher and puzzler Evelyn B. Christensen has created one hundred brand-new perplexing and adorably illustrated games for young puzzlers. There is something for every type of learner here, including number puzzles, word puzzles, logic puzzles, and visual puzzles. She has also included secret clues the solver can consult if they need a hint, making the puzzles even more flexible for a wide skill range of puzzle-solvers. Arranged from easy to difficult, this is a great book for any beginning puzzler. With the game types intermixed throughout, it’s easy for a child who thinks they like only math or only word puzzles to stumble across a different kind of puzzle, get hooked, and discover—oh, they like that kind, too! Regularly practicing a variety of brain games can help improve and develop memory, concentration, creativity, reasoning, and problem-solving skills. Mensa’s® Fun Puzzle Challenges for Kids is a learning tool everyone will enjoy!",['Evelyn B. Christensen'],http://books.google.com/books/content?id=tX1IswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=tX1IswEACAAJ&dq=Mensa+Number+Puzzles+(Mensa+Word+Games+for+Kids)&hl=&cd=1&source=gbs_api,Sky Pony,2018-11-06,http://books.google.nl/books?id=tX1IswEACAAJ&dq=Mensa+Number+Puzzles+(Mensa+Word+Games+for+Kids)&hl=&source=gbs_api,['Juvenile Nonfiction'],
Vector Quantization and Signal Compression (The Springer International Series in Engineering and Computer Science),"Herb Caen, a popular columnist for the San Francisco Chronicle, recently quoted a Voice of America press release as saying that it was reorganizing in order to ""eliminate duplication and redundancy. "" This quote both states a goal of data compression and illustrates its common need: the removal of duplication (or redundancy) can provide a more efficient representation of data and the quoted phrase is itself a candidate for such surgery. Not only can the number of words in the quote be reduced without losing informa tion, but the statement would actually be enhanced by such compression since it will no longer exemplify the wrong that the policy is supposed to correct. Here compression can streamline the phrase and minimize the em barassment while improving the English style. Compression in general is intended to provide efficient representations of data while preserving the essential information contained in the data. This book is devoted to the theory and practice of signal compression, i. e. , data compression applied to signals such as speech, audio, images, and video signals (excluding other data types such as financial data or general purpose computer data). The emphasis is on the conversion of analog waveforms into efficient digital representations and on the compression of digital information into the fewest possible bits. Both operations should yield the highest possible reconstruction fidelity subject to constraints on the bit rate and implementation complexity.","['Allen Gersho', 'Robert M. Gray']",http://books.google.com/books/content?id=GgnrBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=GgnrBwAAQBAJ&printsec=frontcover&dq=Vector+Quantization+and+Signal+Compression+(The+Springer+International+Series+in+Engineering+and+Computer+Science)&hl=&cd=1&source=gbs_api,Springer Science & Business Media,2012-12-06,https://play.google.com/store/books/details?id=GgnrBwAAQBAJ&source=gbs_api,['Technology & Engineering'],
A husband for Kutani,"First published in 1938, this is a collection of four Oriental tales, including ‘Five Merchants Who Met in a Tea-House,’ and ‘Doctor Shen Fu,’ a tale of a Chinese alchemist who possesses the elixir of life. These beautiful and exotic series of Oriental fantasies, set in a China of the imagination, are brought to life by author Frank Owen’s brilliant descriptive passages that embroider his tales.",['Frank Owen'],http://books.google.com/books/content?id=EzxODwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=EzxODwAAQBAJ&pg=PT27&dq=A+husband+for+Kutani&hl=&cd=1&source=gbs_api,Pickle Partners Publishing,2018-02-27,https://play.google.com/store/books/details?id=EzxODwAAQBAJ&source=gbs_api,['History'],
Gold and greenstone,"Sally did most things better than men but it was difficult to get a job in a recession. Then she teamed up with an unlikely character and entered a world of hard work, gold-fever and adventure.",['Barry Crump'],,http://books.google.nl/books?id=I5NOAQAACAAJ&dq=Gold+and+greenstone&hl=&cd=1&source=gbs_api,,2009,http://books.google.nl/books?id=I5NOAQAACAAJ&dq=Gold+and+greenstone&hl=&source=gbs_api,['New Zealand fiction'],
"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!","This collection brings together a distinguished group of researchers to examine the power relations which are played out in university law schools as a result of the different pressures exerted upon them by a range of different 'stakeholders'. From students to governments, from lawyers to universities, a host of institutions and actors believe that law schools should take account of a vast number of (often conflicting) considerations when teaching their students, designing curricula, carrying out research and so on. How do law schools deal with these pressures? What should their response be to the 'stakeholders' who urge them to follow agendas emanating from outside the law school itself? To what extent should some of these agendas play a greater role in the thinking of law schools?",['Fiona Cownie'],http://books.google.com/books/content?id=KAjcBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=KAjcBAAAQBAJ&pg=PA130&dq=The+Ultimate+Guide+to+Law+School+Admission:+Insider+Secrets+for+Getting+a+%22Big+Envelope%22+with+Your+Acceptance+to+Law+School!&hl=&cd=1&source=gbs_api,Bloomsbury Publishing,2010-01-28,https://play.google.com/store/books/details?id=KAjcBAAAQBAJ&source=gbs_api,['Law'],
"The Repeal of Reticence: A History of America's Cultural and Legal Struggles over Free Speech, Obscenity, Sexual Liberation, and Modern Art","At a time when America's faculties of taste and judgment—along with the sense of the sacred and shameful—have become utterly vacant, Rochelle Gurstein's The Repeal of Reticence delivers an important and troubling warning. Covering landmark developments in America's modern culture and law, she charts the demise of what was dismissively called ""gentility"" in the face of First Amendment triumphs for journalists, sex educators, and novelists—from Margaret Sanger's advocacy of birth control to Judge Woolsey's celebrated defense of Ulysses. Weaving together a study of the legal debates over obscenity and free speech with a cultural study of the critics and writers who framed the issues, Gurstein offers a trenchant reconsideration of the sacred value of privacy.",['Rochelle Gurstein'],http://books.google.com/books/content?id=6vYwCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=6vYwCwAAQBAJ&printsec=frontcover&dq=The+Repeal+of+Reticence:+A+History+of+America%27s+Cultural+and+Legal+Struggles+over+Free+Speech,+Obscenity,+Sexual+Liberation,+and+Modern+Art&hl=&cd=1&source=gbs_api",Hill and Wang,2016-01-05,https://play.google.com/store/books/details?id=6vYwCwAAQBAJ&source=gbs_api,['Political Science'],
Overcoming Hypertension (Dr. Kenneth H. Cooper's Preventive Medicine Program),"Like a time bomb ticking away, hypertension builds quietly, gradually, placing unbearable strain on the body until it explodes--in heart attack, stroke, kidney failure, arterial disease, even death. But the disease does not have to progress that way. Here, in the third volume of the highly acclaimed Preventive Medicine Program, Dr. Kenneth H. Cooper, one of the nations foremost experts in the field of preventive medicine, presents a medically sound, reassuringly simple program that help you lower you blood pressure--and keep it down, often without drugs. Overcoming Hypertension gives you: --The latest facts on how cholesterol, cigarette smoking, obesity, and stress affect coronary risk levels. --Your high blood pressure risk profile, with newly devised charts for men and women. --A complete fitness program that lets you choose the sport that works for you. Plus a unique illustrated guide to aqua-aerobics. --Tips on talking to your doctor that will help you become an active participant in your own recovery. --A guide to anti-hypertensive drugs--the most up-to-date list of medications, their recommended daily doses, and ways to minimize side effects. --Three distinct dietary programs, complete with menus, recipes, nutritional charts, healthy cooking tips, and much more. --Take charge of your health and well-being with Overcoming Hypertension.",['Kenneth H. Cooper'],http://books.google.com/books/content?id=guP-e8igrK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=guP-e8igrK0C&printsec=frontcover&dq=Overcoming+Hypertension+(Dr.+Kenneth+H.+Cooper%27s+Preventive+Medicine+Program)&hl=&cd=1&source=gbs_api,Bantam,2012-02-01,https://play.google.com/store/books/details?id=guP-e8igrK0C&source=gbs_api,['Health & Fitness'],
Alaska Sourdough,"""Sourdough is a magical food"", as author Ruth Allman was fond of saying. There are folks in Alaska who claim the staff of life in their sourdough pots is more than 40 years old or date it to the time when Fairbanks was a mining town. Handwwritten to match the old-timers recipes, this book includes directions for several starters that can ripen in varying times, three days to one year. In this witty and useful last word on sourdough cookery, there are more than 95 recipes, loads of time-tested advice for the novice, and plenty of lore for sourdough fans. In this classic last word on sourdough cookery, there are recipes for Alaskan frontier staples (hotcakes to doughnuts) with time-tested advice and love.",['Ruth Allman'],http://books.google.com/books/content?id=ubBQAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=ubBQAQAAIAAJ&q=Alaska+Sourdough&dq=Alaska+Sourdough&hl=&cd=1&source=gbs_api,Alaska Northwest Books,1976,http://books.google.nl/books?id=ubBQAQAAIAAJ&dq=Alaska+Sourdough&hl=&source=gbs_api,['Cooking'],
The Oxford Handbook of Free Will (Oxford Handbooks),"A guide to current work on free will and related subjects, the focus is on writings of the past 40 years, in which there has been a resurgence of interest in traditional issues about the freedom of the will in the light of new developments in the sciences, philosophy and humanistic studies.",['Robert Kane'],http://books.google.com/books/content?id=4YUJhIiyMFoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=4YUJhIiyMFoC&printsec=frontcover&dq=The+Oxford+Handbook+of+Free+Will+(Oxford+Handbooks)&hl=&cd=1&source=gbs_api,OUP USA,2011-07-27,http://books.google.nl/books?id=4YUJhIiyMFoC&dq=The+Oxford+Handbook+of+Free+Will+(Oxford+Handbooks)&hl=&source=gbs_api,['Philosophy'],
Eyewitness Travel Guide to Europe,"The DK Eyewitness Travel Guide: Eastern and Central Europe is your indispensable guide to this beautiful part of the world. The fully updated guide includes unique cutaways, floorplans and reconstructions of the must-see sites, plus street-by-street maps of all the fascinating cities and towns. The new-look guide is also packed with photographs and illustrations leading you straight to the best attractions on offer. The uniquely visual DK Eyewitness Travel Guide: Eastern and Central Europe will help you to discover everything region-by-region; from local festivals and markets to day trips around the countryside. Detailed listings will guide you to the best hotels, restaurants, bars and shops for all budgets, whilst detailed practical information will help you to get around, whether by train, bus or car. Plus, DK's excellent insider tips and essential local information will help you explore every corner of Eastern and Central Europe effortlessly. DK Eyewitness Travel Guide: Eastern and Central Europe showing you what others only tell you.","['Dorling Kindersley Publishing Staff', 'Jonathan Bousfield', 'Matthew Willis']",http://books.google.com/books/content?id=h4worgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=h4worgEACAAJ&dq=Eyewitness+Travel+Guide+to+Europe&hl=&cd=1&source=gbs_api,,2015-06-15,http://books.google.nl/books?id=h4worgEACAAJ&dq=Eyewitness+Travel+Guide+to+Europe&hl=&source=gbs_api,['Europe'],
Hunting The Hard Way,"Thrilling stories about hunting wildcat, buffalo, mountain sheep, wild boar, alligator, deer and small game with a bow and arrow.",['Howard Hill'],http://books.google.com/books/content?id=0lbZCRYJXYIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=0lbZCRYJXYIC&printsec=frontcover&dq=Hunting+The+Hard+Way&hl=&cd=1&source=gbs_api,Derrydale Press,2000-04-26,https://play.google.com/store/books/details?id=0lbZCRYJXYIC&source=gbs_api,['Sports & Recreation'],
History of Magic and the Occult,"See the history of witchcraft, magic and superstition come to life with this spectacular supernatural book! From alchemy and modern Wicca to paganism and shamanism, this enchanting book takes you on a mystical journey that will leave you spellbound. This is the perfect introduction to magic and the occult! This reference book on witchcraft is packed with: - Informative, engaging, and accessible text and lavish illustrations - Special features on aspects of magic, such as oracle bones of ancient China, the Knights Templar, and magic at the movies, and ""plants and potions"", such as mandrake and belladonna examine topics in great detail - Quick-fact panels that explore magic origins, key figures, key deities, use in spells, structures of religions, and more This indispensable witchcraft book explores the common human fascination with spells, superstition, and the supernatural. It provides you with a balanced and unbiased account of everything from Japanese folklore and Indian witchcraft to the differences between black and white magic and dispelling myths such as those surrounding the voodoo doll and Ouija. Expect the unexpected with A History Of Magic, Witchcraft and the Occult. It will open your eyes to other worlds. Discover forms of divination from astrology and palmistry to the Tarot and runestones. Explore the presence of witchcraft in literature from Shakespeare's Macbeth to the Harry Potter series, and the ways in which magic has interacted with religion. Whether you're a believer or a sceptic, this richly illustrated history book provides a fresh approach to the extensive and complex story of witchcraft, magic and the occult.",['DK'],http://books.google.com/books/content?id=PSnkDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=PSnkDwAAQBAJ&printsec=frontcover&dq=History+of+Magic+and+the+Occult&hl=&cd=1&source=gbs_api,Dorling Kindersley Ltd,2020-08-06,https://play.google.com/store/books/details?id=PSnkDwAAQBAJ&source=gbs_api,"['Body, Mind & Spirit']",
The Forbidden Stories of Marta Veneranda,"Marta Veneranda, a Latina neoyorkina, finds that she inspires the confessional in people. In fact, when people come to her, they feel the need to reveal their most embarrassing and shameful stories. And through these reluctantly told tales, where characters enter and leave each other's narrations, Rivera-Valdes revisits and questions our most basic behavioral assumptions. In ""Little Poisons,"" the narrator shares with Marta the minutiae of her self-help book–assisted liberation from her philandering husband, whom she will eventually poison to death, and whose mistress she will befriend: ""In the fifteen years of marriage he would tell me everything, even about his sexual escapades-if he couldn'splitSize share them with me, who would he share them with? Besides, that way no one could come running to me spreading rumors."" Beneath the humor is a dead-serious scrutiny of the commingling of Anglo and Latino cultures. At heart, the stories are an exposé of the comforts and discomforts of that cohabitation.",['Sonia Rivera-Valdes'],http://books.google.com/books/content?id=A7aYbAvagu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=A7aYbAvagu8C&printsec=frontcover&dq=The+Forbidden+Stories+of+Marta+Veneranda&hl=&cd=1&source=gbs_api,Seven Stories Press,2001-03-06,http://books.google.nl/books?id=A7aYbAvagu8C&dq=The+Forbidden+Stories+of+Marta+Veneranda&hl=&source=gbs_api,['Fiction'],
Homer or Moses?: Early Christian Interpretations of the History of Culture (Hermeneutische Untersuchungen zur Theologie),,['Arthur J. Droge'],http://books.google.com/books/content?id=R0A4HXqmb_8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=R0A4HXqmb_8C&printsec=frontcover&dq=Homer+or+Moses%3F:+Early+Christian+Interpretations+of+the+History+of+Culture+(Hermeneutische+Untersuchungen+zur+Theologie)&hl=&cd=1&source=gbs_api,Mohr Siebeck,1989,http://books.google.nl/books?id=R0A4HXqmb_8C&dq=Homer+or+Moses%3F:+Early+Christian+Interpretations+of+the+History+of+Culture+(Hermeneutische+Untersuchungen+zur+Theologie)&hl=&source=gbs_api,['Religion'],
Paolo Di Canio Hb,"Understanding Human Motivation is a lively presentation of how factors such as biological nature, instinct, past experience, and society determine what we do. Draws on many different domains of human behavior and links together many motivational factors such as fear, sex, consciousness, and rage. Illustrates the theoretical bases of motivation through real-life examples and case studies. Written in accessible manner for use in courses.",['Donald Laming'],http://books.google.com/books/content?id=wLQ0bRIyx30C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=wLQ0bRIyx30C&pg=PA305&dq=Paolo+Di+Canio+Hb&hl=&cd=1&source=gbs_api,John Wiley & Sons,2008-04-15,https://play.google.com/store/books/details?id=wLQ0bRIyx30C&source=gbs_api,['Psychology'],
"Thomas Jefferson, (American statesmen)",,['John T. Morse'],,"http://books.google.nl/books?id=5YNDzwEACAAJ&dq=Thomas+Jefferson,+(American+statesmen)&hl=&cd=1&source=gbs_api",,1888,"http://books.google.nl/books?id=5YNDzwEACAAJ&dq=Thomas+Jefferson,+(American+statesmen)&hl=&source=gbs_api",,
Ricky Williams: Dreadlocks to Ditka,"Ricky Williams is not only the best running back in the history of college football, but also a known for his down-to-earth personality and willingness to help others. His decision to stay at UT for his senior year despite opportunities to join the NFL meant the world to UT and fans of the soft-spoken, dreadlocked, talented athlete. Richardson delves deep into the personal life of Williams', who was forced to grow up at an early age in order to take care of his twin sister, younger siblings and divorced mother. Through his responsibiliy to his family and love of football, Ricky Williams' story is truly inspirational.",['Steve Richardson'],http://books.google.com/books/content?id=7mqCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=7mqCDwAAQBAJ&dq=Ricky+Williams:+Dreadlocks+to+Ditka&hl=&cd=1&source=gbs_api,Simon and Schuster,2012-02-07,http://books.google.nl/books?id=7mqCDwAAQBAJ&dq=Ricky+Williams:+Dreadlocks+to+Ditka&hl=&source=gbs_api,['Sports & Recreation'],
Dealing With Disappointment: Helping Kids Cope When Things Don'splitSize Go Their Way,"Why Dragons So Angry? Despite our best efforts, reality doesn'splitSize always meet our expectations. There is no need to be upset or mad. * Anger can be a positive emotion when it helps kids work through issues or problems* Help kids learn how to manage their anger in safe and healthy ways* Teach your kids to deal with disappointment * Being angry doesn'splitSize make you bad Get this book and learn how to train your angry ! A must have book for children and parents to teach kids about emotions and anger management. Fun, cute and entertaining, this playful book will teach kids how to handle when things don'splitSize go their way. Did you know that anger isn'splitSize totally bad like we have always been taught? Children from my observation often experience strong and sudden bursts of emotion. Teaching children how to manage their emotions in a healthy way is an essential skill they need to have. This will go a long way to affect their growth and behavior in a positive way. I can assuredly tell you that helping your child navigate their emotions can sometimes feel like an enormous challenge, but it doesn'splitSize have to be. That is the main reason why I wrote this book. Get this book now and enjoy!",['John Adrian'],http://books.google.com/books/content?id=f64FzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=f64FzgEACAAJ&dq=Dealing+With+Disappointment:+Helping+Kids+Cope+When+Things+Don%27t+Go+Their+Way&hl=&cd=1&source=gbs_api,,2020-09-25,http://books.google.nl/books?id=f64FzgEACAAJ&dq=Dealing+With+Disappointment:+Helping+Kids+Cope+When+Things+Don%27t+Go+Their+Way&hl=&source=gbs_api,,
Portraits of the Presidents: The National Portrait Gallery,"A striking collection of presidential portraits from the National Portrait Gallery, this volume encapsulates the spirit of the most powerful office in the world. America's Presidents showcases the nation's largest collection of portraits of all the presidents beyond the White House's own, capturing the permanent exhibition that lies at the heart of the Portrait Gallery's mission to tell the American story through the individuals who have shaped it. The book explores presidential imagery through portraits ranging from the traditional, such as the iconic and newly restored ""Lansdowne"" portrait of George Washington by Gilbert Stuart, to the contemporary, such as Elaine de Kooning's colorful depiction of John F. Kennedy. Many of the featured portraits reveal much about the sitter, such as the intimate rendering of an informal George W. Bush by Robert Anderson and the fanciful, mosaic-like Chuck Close image of Bill Clinton. Some tell us more about the artist, such as the likeness of Franklin Delano Roosevelt that Douglas Chandor planned to include in a larger work about peace that would commemorate Roosevelt's Yalta meeting with wartime Allied leaders Winston Churchill and Joseph Stalin. Works in other media, including sculptures and daguerreotypes, round out the presidential collection. Lively narratives accompany each piece, exploring the president's background and biography as well as the work's artistic and historical significance. Taken together, the portraits are a powerful visual exploration of the history of the highest office in the land and the diverse men who have held it.",['National Portrait Gallery'],http://books.google.com/books/content?id=lRVHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=lRVHDwAAQBAJ&printsec=frontcover&dq=Portraits+of+the+Presidents:+The+National+Portrait+Gallery&hl=&cd=1&source=gbs_api,Smithsonian Institution,2018-02-13,http://books.google.nl/books?id=lRVHDwAAQBAJ&dq=Portraits+of+the+Presidents:+The+National+Portrait+Gallery&hl=&source=gbs_api,['Biography & Autobiography'],
